,ap_mac,ap_name
51642,28:ee:52:ae:77:08:,Le Toucan DÃ©chaÃ®nÃ©
51643,46:12:57:7d:91:81:,realme X2 Pro
51645,8e:5c:2e:e4:50:48:,Galaxy A32EA8A
51654,94:d4:69:fa:94:45:,
51661,94:d4:69:fa:9a:05:,
51664,94:d4:69:fd:ac:e0:,eduroam
51665,94:d4:69:fd:ac:e3:,CD91
51666,94:d4:69:fd:ac:e8:,stop&go
51668,aa:6b:ad:45:e7:0d:,DIRECT-0d-HP M203 LaserJet
51669,aa:6b:ad:45:ea:b0:,DIRECT-b0-HP M203 LaserJet
51670,d2:eb:2d:fc:d1:cf:,Redmi Note 9S
51671,e2:bb:9e:9c:e0:7a:,DIRECT-1C4KsEB8DC0E6GO_I
51672,ee:9a:47:f0:63:78:,Tranquilitea
51692,94:d4:69:fa:94:4a:,
51704,94:d4:69:fd:ac:e4:,Guest-CentraleSupelec
51705,94:d4:69:fd:ac:e6:,fabrique2024
51706,94:d4:69:fd:ac:e7:,
51716,fe:fa:d8:43:d8:df:,Î»G
51758,94:d4:69:fd:b1:ea:,
51804,94:d4:69:fd:ac:e9:,fabrique2024
51805,94:d4:69:fd:ac:eb:,Guest-CentraleSupelec
51806,94:d4:69:fd:ac:ec:,CD91
51822,00:0e:8e:6e:4d:5e:,ClickShare-AMPHI LANGUES
51826,70:d3:79:2e:ba:00:,eduroam
51827,70:d3:79:2e:ba:03:,CD91
51828,70:d3:79:2e:ba:04:,Guest-CentraleSupelec
51829,70:d3:79:2e:e8:45:,
51835,94:d4:69:f6:e4:e5:,
51870,94:d4:69:fd:ac:ef:,eduroam
51874,94:d4:69:fd:b1:e5:,
51891,2e:dd:f0:d2:fa:61:,Redmi 9
51911,94:d4:69:f9:7d:6a:,
52135,94:d4:69:f9:7d:65:,
52273,28:ee:52:ae:77:07:,Le Toucan DÃ©chaÃ®nÃ© 5GHz
52334,94:d4:69:fd:ac:ea:,
52593,94:d4:69:fd:ac:e5:,
52616,94:d4:69:fd:b2:25:,
52717,e8:cc:18:8d:3e:00:,wifi amphi 120-3 5g
52777,94:d4:69:fa:9a:0a:,
52910,94:d4:69:fd:b2:2a:,
52946,94:d4:69:f6:e4:e9:,fabrique2024
