timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,32:3d:6b:ac:cc:58,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:08,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a0,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a7,94:d4:69:f6:b5:a8,94:d4:69:f6:b5:a9,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e2,94:d4:69:fd:ac:e6,94:d4:69:fd:ac:e7,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714718639.055508,,,-59,,,-80,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,,,-76,-76,-76,-76,-76,-76,-76,-89,-76,-76,,-88,-88,-88,,-88,,,,-75,-74,-73,-73,-74,,-74,-73,-74,-74,,-90,-91,-90,,-90,-66,-67,-66,-67,-67,-67,-81,-81,-67,-82,,-81,-81,-82,,-82,,-88,,
1714718646.060365,,,-70,,,-82,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-77,-77,-77,-77,-78,-77,-86,-77,-77,,-86,-86,-86,,-86,,,,-74,-74,-73,-74,-73,-73,-89,-73,-73,-73,,-90,,,,,-66,-66,-66,-66,-66,-66,-79,-79,-66,-79,,-78,-79,-79,,-79,,,,
1714718653.0630696,,,-59,,,-82,-82,,,,,,,,-84,-83,,,,,-83,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-75,-77,-75,-75,-75,-75,-86,-77,-77,,-87,-87,-86,,-86,,,,-74,-74,-74,-73,-74,-73,-89,-74,-74,-74,,-90,,,,,-66,-66,-67,-66,-66,-66,-81,-81,-67,-81,-82,-82,-82,-82,-82,-82,,-89,,
1714718660.0680242,,,-72,,,,-74,,,,,,,,-84,-83,,,,,-83,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-78,-78,-78,-78,-78,-79,-85,-79,-85,-85,-85,-85,-85,-85,-85,,,,-75,-75,-76,-75,-75,-75,-75,-75,-75,-75,,,-91,-91,,,-65,-64,-65,-65,-65,-65,-80,-80,-65,-80,-82,-80,-79,-79,-82,-79,,-89,,
1714718668.0268316,,-93,-60,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-74,-74,-74,-74,-74,-74,-74,-74,-89,,-89,-89,-89,,-89,,,,-73,-73,-72,-73,-72,-73,-73,-73,-73,-73,,-90,-90,-90,,-89,-65,-65,-65,-65,-66,-65,-66,-66,-65,-66,-80,-80,-80,-80,-80,-80,,,,
1714718674.0746937,,-93,-71,,,-75,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-77,-78,-77,-74,-74,-77,-77,-78,-89,-89,-89,-89,-88,-88,-89,,,,-75,-75,-75,-75,-75,-75,-74,-75,-74,-75,,-91,-91,-89,,-89,-61,-61,-61,-61,-61,-61,-61,-66,-61,-61,-80,-80,-80,-80,-80,-80,,,,
1714718681.077874,,,-58,,,-75,-74,-83,,,,,,,-83,,,,,,,-84,-85,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,-76,-77,-78,-77,,,-77,-77,-78,-88,-89,-87,-88,-88,-88,-87,,,,-75,-75,-75,-75,-73,-73,-73,-73,-74,-73,,-91,-91,-89,,,-68,-61,-68,-68,-67,-61,-68,-80,-68,-68,,-79,-80,-80,,-80,-86,,,
1714718688.0838065,,,-73,,,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-76,-76,-76,-76,-75,-75,-75,-75,-75,,-88,-86,-86,,-87,,,,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,,,,,,,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,,-80,-81,-80,,-80,,,,
1714718695.0873885,,,-73,,,,-81,,-83,,-83,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-76,-76,-76,-75,-75,,-86,-86,-87,,-86,,,,-75,-74,-74,-73,-74,-74,-74,-74,-75,-75,,,-87,,,,-69,-66,-69,-68,-68,-68,-68,-68,-68,-68,,-80,-80,-79,,-80,,,,
1714718702.0927124,,,,,,,-81,,-83,,-83,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-76,-76,-76,,-86,,-86,-86,-87,,-86,,,,-75,-74,-74,-73,-74,-74,-74,-74,,,,,-87,,,,-69,,-69,-68,-68,-68,-68,-68,-68,-68,,-80,-80,-79,,-80,,,,
