,ap_mac,ap_name,rssi,timestamp,room
134,94:d4:69:fd:b1:09,TOSS2024,-78,1714717368.8638458,LC405test
135,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-85,1714717368.8638458,LC405test
136,94:d4:69:fd:b1:0c,CD91,-86,1714717368.8638458,LC405test
137,94:d4:69:fd:b1:0d,START UP FOR KIDS,-86,1714717368.8638458,LC405test
138,94:d4:69:fd:b1:0f,eduroam,-91,1714717368.8638458,LC405test
139,94:d4:69:fd:b2:20,eduroam,-67,1714717368.8638458,LC405test
140,94:d4:69:fd:b2:21,,-67,1714717368.8638458,LC405test
141,94:d4:69:fd:b2:22,START UP FOR KIDS,-67,1714717368.8638458,LC405test
142,94:d4:69:fd:b2:23,CD91,-67,1714717368.8638458,LC405test
143,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-67,1714717368.8638458,LC405test
144,94:d4:69:fd:b2:25,,-67,1714717368.8638458,LC405test
145,94:d4:69:fd:b2:26,fabrique2024,-67,1714717368.8638458,LC405test
146,94:d4:69:fd:b2:27,,-67,1714717368.8638458,LC405test
147,94:d4:69:fd:b2:28,stop&go,-67,1714717368.8638458,LC405test
148,94:d4:69:fd:b2:29,TOSS2024,-67,1714717368.8638458,LC405test
149,94:d4:69:fd:b2:2a,,-75,1714717368.8638458,LC405test
150,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-79,1714717368.8638458,LC405test
151,94:d4:69:fd:b2:2c,CD91,-78,1714717368.8638458,LC405test
152,94:d4:69:fd:b2:2d,START UP FOR KIDS,-78,1714717368.8638458,LC405test
153,94:d4:69:fd:b2:2e,,-75,1714717368.8638458,LC405test
154,94:d4:69:fd:b2:2f,eduroam,-79,1714717368.8638458,LC405test
155,b2:3e:26:00:d8:44,Bbox_60635799,-91,1714717368.8638458,LC405test
156,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES,-95,1714717375.8688695,LC405test
157,10:be:f5:be:82:a8,,-92,1714717375.8688695,LC405test
158,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz,-93,1714717375.8688695,LC405test
159,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9,-83,1714717375.8688695,LC405test
160,32:3d:6b:ac:cc:58,Galaxy A04s F93A,-77,1714717375.8688695,LC405test
161,70:d3:79:39:de:20,eduroam,-81,1714717375.8688695,LC405test
162,94:d4:69:f9:7d:40,eduroam,-82,1714717375.8688695,LC405test
163,94:d4:69:fa:94:42,START UP FOR KIDS,-80,1714717375.8688695,LC405test
164,94:d4:69:fa:94:48,stop&go,-77,1714717375.8688695,LC405test
165,94:d4:69:fa:94:49,TOSS2024,-81,1714717375.8688695,LC405test
166,94:d4:69:fa:9a:00,eduroam,-75,1714717375.8688695,LC405test
167,94:d4:69:fa:9a:01,,-75,1714717375.8688695,LC405test
168,94:d4:69:fa:9a:02,START UP FOR KIDS,-75,1714717375.8688695,LC405test
169,94:d4:69:fa:9a:03,CD91,-75,1714717375.8688695,LC405test
170,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-74,1714717375.8688695,LC405test
171,94:d4:69:fa:9a:05,,-75,1714717375.8688695,LC405test
172,94:d4:69:fa:9a:06,fabrique2024,-75,1714717375.8688695,LC405test
173,94:d4:69:fa:9a:07,,-75,1714717375.8688695,LC405test
174,94:d4:69:fa:9a:08,stop&go,-75,1714717375.8688695,LC405test
175,94:d4:69:fa:9a:09,TOSS2024,-75,1714717375.8688695,LC405test
176,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-83,1714717375.8688695,LC405test
177,94:d4:69:fa:9a:0c,CD91,-83,1714717375.8688695,LC405test
178,94:d4:69:fa:9a:0d,START UP FOR KIDS,-83,1714717375.8688695,LC405test
179,94:d4:69:fa:9a:0f,eduroam,-83,1714717375.8688695,LC405test
180,94:d4:69:fd:b1:00,eduroam,-77,1714717375.8688695,LC405test
181,94:d4:69:fd:b1:01,,-77,1714717375.8688695,LC405test
